socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Alto,Norte,RR,Urbana,Pública,12,243.7750012250999,245.23006718424966,9.307100115071993
Alto,Norte,TO,Rural,Pública,3,248.78625042609474,253.0168725714286,10.758254201638998
Alto,Norte,TO,Urbana,Pública,31,263.27884788674163,263.08743176903397,15.386517714154271
Alto,Sudeste,ES,Rural,Pública,27,276.9764914200951,279.9691670714285,20.5701011399571
Alto,Sudeste,ES,Urbana,Pública,182,263.2997872428274,262.2190107751628,16.68262952634071
Alto,Sudeste,MG,Rural,Pública,66,258.78217724421717,259.54946225095705,18.532480754202133
Alto,Sudeste,MG,Urbana,Privada,1,275.2158169473684,275.2158169473684,
Alto,Sudeste,MG,Urbana,Pública,1097,251.3312230618575,251.29995475237587,15.365700650839395
Alto,Sudeste,RJ,Rural,Pública,46,253.1968045855304,254.7155725160422,19.267438066726793
Alto,Sudeste,RJ,Urbana,Privada,4,274.6460595296053,274.9065904342105,13.334040037284758
Alto,Sudeste,RJ,Urbana,Pública,344,253.37601930784874,254.0312101383778,19.286857193023344
Alto,Sudeste,SP,Rural,Pública,91,261.2003919814567,261.5862218785714,12.430270953974546
Alto,Sudeste,SP,Urbana,Pública,2268,254.87725608633892,253.91390201864226,13.21311127660301
Alto,Sul,PR,Rural,Pública,83,270.7590620508066,271.06815018749995,17.70926940727676
Alto,Sul,PR,Urbana,Pública,581,261.5573546751695,261.26849787600264,14.888828870676498
Alto,Sul,RS,Rural,Pública,148,253.4869875576627,256.55509061904763,20.74433446113552
Alto,Sul,RS,Urbana,Pública,788,247.4511533597991,247.10986062953734,16.80517324165395
Alto,Sul,SC,Rural,Pública,65,257.5901036046472,254.481483625,18.141982942477735
Alto,Sul,SC,Urbana,Pública,305,251.84262195589722,252.33755752631572,15.320625443110501
Muito alto,Centro-Oeste,DF,Rural,Pública,3,252.35607420650695,258.3129309320383,16.354275440916282
Muito alto,Centro-Oeste,DF,Urbana,Privada,49,291.3284956982032,290.01385591071426,20.635140441719805
Muito alto,Centro-Oeste,DF,Urbana,Pública,76,255.59165331587027,253.80151632529663,17.487539674293362
Muito alto,Centro-Oeste,GO,Rural,Privada,1,294.31812520689647,294.31812520689647,
Muito alto,Centro-Oeste,GO,Rural,Pública,10,271.68652160706847,266.05259910000007,29.804564736618058
Muito alto,Centro-Oeste,GO,Urbana,Privada,61,290.3737243000263,288.47364189473694,22.107569096102964
Muito alto,Centro-Oeste,GO,Urbana,Pública,175,282.8703041792097,283.027446651562,18.832155672981777
